linha,nome,operadora,data_pesquisa,faixa_horaria,passageiros,partidas,passageiros_viagem,tempo_viagem_min
387,Linha 82 (Nobuji Nagasawa-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,7,125,3,41.7,31
388,Linha 82 (Nobuji Nagasawa-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,8,94,4,23.5,29
389,Linha 82 (Nobuji Nagasawa-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,9,77,3,25.7,30
390,Linha 82 (Nobuji Nagasawa-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,10,75,4,18.8,44
391,Linha 82 (Nobuji Nagasawa-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,11,16,1,16.0,29
392,Linha 82 (Nobuji Nagasawa-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,12,133,5,26.6,31
393,Linha 82 (Nobuji Nagasawa-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,13,109,3,36.3,36
394,Linha 82 (Nobuji Nagasawa-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,14,51,2,25.5,33
395,Linha 82 (Nobuji Nagasawa-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,15,11,2,5.5,28
396,Linha 82 (Nobuji Nagasawa-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,16,28,3,9.3,29
397,Linha 82 (Nobuji Nagasawa-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,17,69,4,17.3,34
398,Linha 82 (Nobuji Nagasawa-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,18,49,4,12.3,31
399,Linha 82 (Nobuji Nagasawa-Centro) PF1-PF2,Cidade Sem Limites,11/04/2013,19,12,1,12.0,27
400,Linha 82 (Nobuji Nagasawa-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,6,28,3,9.3,30
401,Linha 82 (Nobuji Nagasawa-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,7,32,2,16.0,35
402,Linha 82 (Nobuji Nagasawa-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,8,26,3,8.7,32
403,Linha 82 (Nobuji Nagasawa-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,9,37,3,12.3,32
404,Linha 82 (Nobuji Nagasawa-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,10,28,2,14.0,36
405,Linha 82 (Nobuji Nagasawa-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,11,86,4,21.5,35
406,Linha 82 (Nobuji Nagasawa-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,12,106,4,26.5,32
407,Linha 82 (Nobuji Nagasawa-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,13,124,4,31.0,32
408,Linha 82 (Nobuji Nagasawa-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,14,42,2,21.0,35
409,Linha 82 (Nobuji Nagasawa-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,15,129,3,43.0,37
410,Linha 82 (Nobuji Nagasawa-Centro) PF2-PF1,Cidade Sem Limites,11/04/2013,16,186,4,46.5,39
